,player name,player link
76,Youri Tielemans,https://www.transfermarkt.com/youri-tielemans/profil/spieler/249565
77,Luis Alberto,https://www.transfermarkt.com/luis-alberto/profil/spieler/128220
78,Kevin De Bruyne,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755
79,Raphaël Varane,https://www.transfermarkt.com/raphael-varane/profil/spieler/164770
80,Fabinho,https://www.transfermarkt.com/fabinho/profil/spieler/225693
81,Éder Militão,https://www.transfermarkt.com/eder-militao/profil/spieler/401530
82,Wesley Fofana,https://www.transfermarkt.com/wesley-fofana/profil/spieler/475411
83,Edmond Tapsoba,https://www.transfermarkt.com/edmond-tapsoba/profil/spieler/564545
84,Vinícius Júnior,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998
85,Dejan Kulusevski,https://www.transfermarkt.com/dejan-kulusevski/profil/spieler/431755
86,Reece James,https://www.transfermarkt.com/reece-james/profil/spieler/472423
87,Aaron Wan-Bissaka,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758
88,Nuno Mendes,https://www.transfermarkt.com/nuno-mendes/profil/spieler/616341
89,Nicolò Zaniolo,https://www.transfermarkt.com/nicolo-zaniolo/profil/spieler/392085
90,Arthur,https://www.transfermarkt.com/arthur/profil/spieler/362842
91,Carlos Soler,https://www.transfermarkt.com/carlos-soler/profil/spieler/372246
92,Dusan Vlahovic,https://www.transfermarkt.com/dusan-vlahovic/profil/spieler/357498
93,Virgil van Dijk,https://www.transfermarkt.com/virgil-van-dijk/profil/spieler/139208
94,Youssef En-Nesyri,https://www.transfermarkt.com/youssef-en-nesyri/profil/spieler/433049
95,Tomas Soucek,https://www.transfermarkt.com/tomas-soucek/profil/spieler/283628
96,Hirving Lozano,https://www.transfermarkt.com/hirving-lozano/profil/spieler/316889
97,Alexander Isak,https://www.transfermarkt.com/alexander-isak/profil/spieler/349066
98,Diogo Jota,https://www.transfermarkt.com/diogo-jota/profil/spieler/340950
99,Martin Ødegaard,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264
100,Moussa Diaby,https://www.transfermarkt.com/moussa-diaby/profil/spieler/395516
101,Jamal Musiala,https://www.transfermarkt.com/jamal-musiala/profil/spieler/580195
102,Giovanni Reyna,https://www.transfermarkt.com/giovanni-reyna/profil/spieler/504215
103,Ismaël Bennacer,https://www.transfermarkt.com/ismael-bennacer/profil/spieler/351816
104,Lorenzo Pellegrini,https://www.transfermarkt.com/lorenzo-pellegrini/profil/spieler/286297
105,Marcel Sabitzer,https://www.transfermarkt.com/marcel-sabitzer/profil/spieler/106987
106,Mikel Merino,https://www.transfermarkt.com/mikel-merino/profil/spieler/338424
107,Tammy Abraham,https://www.transfermarkt.com/tammy-abraham/profil/spieler/331726
108,Boubacar Kamara,https://www.transfermarkt.com/boubacar-kamara/profil/spieler/394327
109,Gerard Moreno,https://www.transfermarkt.com/gerard-moreno/profil/spieler/177467
110,Piotr Zielinski,https://www.transfermarkt.com/piotr-zielinski/profil/spieler/181136
111,Wilfried Zaha,https://www.transfermarkt.com/wilfried-zaha/profil/spieler/145988
112,Jan Oblak,https://www.transfermarkt.com/jan-oblak/profil/spieler/121483
113,João Cancelo,https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712
114,André Silva,https://www.transfermarkt.com/andre-silva/profil/spieler/198008
115,Lucas Hernández,https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963
116,Thomas Partey,https://www.transfermarkt.com/thomas-partey/profil/spieler/230784
117,Rodrigo de Paul,https://www.transfermarkt.com/rodrigo-de-paul/profil/spieler/255901
